注文日,ASIN,SKU,商品名,注文番号,販売チャネル,フルフィルメント,数量,売上高,Amazon手数料率(%),Amazon手数料,FBA配送料,FBA保管料,原価,広告費割当,返品数,返品額
2024-02-24,B017OOPPQQ,SKU-018,ステンレスストロー 8本セット,112-1234567-0000050,Amazon.co.jp,FBA,3,3570,15,536,260,20,900,179,0,0
2024-02-25,B001AABBCD,SKU-002,ステンレス水筒 500ml ブラック,112-1234567-0000051,Amazon.co.jp,FBA,2,5800,15,870,300,50,2200,290,0,0
2024-02-26,B012EEFFVV,SKU-013,アウトドア折りたたみチェア,112-1234567-0000052,Amazon.co.jp,FBA,1,7800,15,1170,420,150,3500,390,0,0
2024-02-27,B016MMNNRR,SKU-017,防水スマホケース 汎用,112-1234567-0000053,Amazon.co.jp,FBA,2,3980,15,597,280,30,1000,199,0,0
2024-02-28,B004HHIIJJ,SKU-005,ポータブル充電器 10000mAh,112-1234567-0000054,Amazon.co.jp,FBA,1,4300,15,645,350,80,1600,215,0,0
2024-03-01,B018QQRRPP,SKU-019,アロマディフューザー USB式,112-1234567-0000055,Amazon.co.jp,FBA,2,5960,15,894,300,50,2000,298,0,0
2024-03-02,B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,112-1234567-0000056,Amazon.co.jp,FBA,5,14500,15,2175,300,50,5500,725,0,0
2024-03-03,B005KKLLMM,SKU-006,LEDデスクライト USB給電,112-1234567-0000057,Amazon.co.jp,FBA,3,11940,15,1791,320,60,4500,597,0,0
2024-03-04,B019SSTTUQ,SKU-020,電動鼻毛カッター,112-1234567-0000058,Amazon.co.jp,FBA,4,7960,15,1194,300,50,2400,398,0,0
2024-03-05,B009WWXXYY,SKU-010,車用スマホホルダー 磁気式,112-1234567-0000059,Amazon.co.jp,FBA,2,3960,15,594,280,30,1200,198,0,0
2024-03-06,B013GGHHUU,SKU-014,USB-Cハブ 7in1,112-1234567-0000060,Amazon.co.jp,FBA,3,20400,15,3060,350,80,8700,1020,0,0
2024-03-07,B008TTUUVV,SKU-009,ワイヤレスイヤホン スポーツ用,112-1234567-0000061,Amazon.co.jp,FBA,2,13600,15,2040,380,90,5600,680,0,0
2024-03-08,B011CCDDWW,SKU-012,キッチンスポンジ 10個入り,112-1234567-0000062,Amazon.co.jp,FBA,10,9900,15,1485,270,25,3000,495,0,0
2024-03-09,B002CCDDEE,SKU-003,シリコン製スマホスタンド,112-1234567-0000063,Amazon.co.jp,FBA,6,8940,15,1341,270,30,1800,447,0,0
2024-03-10,B018QQRRPP,SKU-019,アロマディフューザー USB式,112-1234567-0000064,Amazon.co.jp,FBA,1,2980,15,447,300,50,1000,149,0,0
2024-03-11,B014IIIJJTT,SKU-015,ゲーミングマウスパッド XL,112-1234567-0000065,Amazon.co.jp,FBA,2,5960,15,894,300,60,2200,298,0,0
2024-03-12,B017OOPPQQ,SKU-018,ステンレスストロー 8本セット,112-1234567-0000066,Amazon.co.jp,FBA,5,5950,15,893,260,20,1500,298,0,0
2024-03-13,B001AABBCD,SKU-002,ステンレス水筒 500ml ブラック,112-1234567-0000067,Amazon.co.jp,FBA,4,11600,15,1740,300,50,4400,580,0,0
2024-03-14,B012EEFFVV,SKU-013,アウトドア折りたたみチェア,112-1234567-0000068,Amazon.co.jp,FBA,3,23400,15,3510,420,150,10500,1170,0,0
2024-03-15,B016MMNNRR,SKU-017,防水スマホケース 汎用,112-1234567-0000069,Amazon.co.jp,FBA,5,9950,15,1493,280,30,2500,498,0,0
2024-03-16,B004HHIIJJ,SKU-005,ポータブル充電器 10000mAh,112-1234567-0000070,Amazon.co.jp,FBA,4,17200,15,2580,350,80,6400,860,0,0
2024-03-17,B010AABBZZ,SKU-011,ノイズキャンセリングイヤーマフ,112-1234567-0000071,Amazon.co.jp,FBA,3,13500,15,2025,350,70,5400,675,0,0
2024-03-18,B019SSTTUQ,SKU-020,電動鼻毛カッター,112-1234567-0000072,Amazon.co.jp,FBA,2,3980,15,597,300,50,1200,199,0,0
2024-03-19,B006NNOOPP,SKU-007,折りたたみ傘 コンパクト,112-1234567-0000073,Amazon.co.jp,FBA,4,7920,15,1188,250,20,2800,396,0,0
2024-03-20,B015KKLLSS,SKU-016,折りたたみショッピングバッグ,112-1234567-0000074,Amazon.co.jp,FBA,8,7920,15,1188,260,20,2000,396,0,0
2024-03-21,B007QQRRSS,SKU-008,ウォーターボトルブラシ セット,112-1234567-0000075,Amazon.co.jp,FBA,6,8940,15,1341,280,40,2400,447,0,0
2024-03-22,B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,112-1234567-0000076,Amazon.co.jp,FBA,3,8700,15,1305,300,50,3300,435,0,0
2024-03-23,B013GGHHUU,SKU-014,USB-Cハブ 7in1,112-1234567-0000077,Amazon.co.jp,FBA,2,13600,15,2040,350,80,5800,680,0,0
2024-03-24,B003EEFFGG,SKU-004,マイクロファイバータオル 3枚組,112-1234567-0000078,Amazon.co.jp,FBA,4,9920,15,1488,250,20,3200,496,0,0
2024-03-25,B018QQRRPP,SKU-019,アロマディフューザー USB式,112-1234567-0000079,Amazon.co.jp,FBA,3,8940,15,1341,300,50,3000,447,0,0
2024-03-26,B008TTUUVV,SKU-009,ワイヤレスイヤホン スポーツ用,112-1234567-0000080,Amazon.co.jp,FBA,4,27200,15,4080,380,90,11200,1360,1,6800
2024-03-27,B005KKLLMM,SKU-006,LEDデスクライト USB給電,112-1234567-0000081,Amazon.co.jp,FBA,2,7960,15,1194,320,60,3000,398,0,0
2024-03-28,B019SSTTUQ,SKU-020,電動鼻毛カッター,112-1234567-0000082,Amazon.co.jp,FBA,3,5970,15,896,300,50,1800,299,0,0
2024-03-29,B009WWXXYY,SKU-010,車用スマホホルダー 磁気式,112-1234567-0000083,Amazon.co.jp,FBA,3,5940,15,891,280,30,1800,297,0,0
2024-03-30,B011CCDDWW,SKU-012,キッチンスポンジ 10個入り,112-1234567-0000084,Amazon.co.jp,FBA,6,5940,15,891,270,25,1800,297,0,0
2024-03-31,B014IIIJJTT,SKU-015,ゲーミングマウスパッド XL,112-1234567-0000085,Amazon.co.jp,FBA,4,11920,15,1788,300,60,4400,596,0,0
